country,source,title,pub_date,description,url,language
Qatar,Al Jazeera,"Aboriginal man, 24, dies in police custody in Australia s NT",2025-05-28 09:48:35,NT police say &#039;the man stopped breathing&#039; shortly after officers restrained him in a supermarket.,https://www.aljazeera.com/news/2025/5/28/aboriginal-man-24-dies-in-police-custody-in-australias-nt?traffic_source=rss,en
Qatar,Al Jazeera,Rizza in Indian-administered Kashmir,2025-05-28 09:22:25,A video diary for Al Jazeera,https://www.aljazeera.com/video/on-the-ground/2025/5/28/rizza-in-indian-administered-kashmir?traffic_source=rss,en
Qatar,Al Jazeera,Was the shooting of Israeli embassy staff at Jewish museum a false flag?,2025-05-28 09:20:02,Authorities are investigating the fatal shootings outside the Capital Jewish Museum as hate crimes and &#039;terrorism&#039;.,https://www.aljazeera.com/news/2025/5/28/was-the-shooting-of-israeli-embassy-staff-at-jewish-museum-a-false-flag?traffic_source=rss,en
Qatar,Al Jazeera,Life expectancy in Gaza,2025-05-28 09:08:45,We compare life expectancy in Gaza before the war versus after one year of conflict.,https://www.aljazeera.com/program/compare-contrast/2025/5/28/life-expectancy-in-gaza?traffic_source=rss,en
Qatar,Al Jazeera,Israel launches attack on Yemen s Sanaa airport,2025-05-28 08:51:51,"Four strikes hit the runway and a Yemenia Airways plane, according to Houthi-affiliated media report.",https://www.aljazeera.com/news/2025/5/28/israel-launches-attack-on-yemens-sanaa-airport?traffic_source=rss,en
Qatar,Al Jazeera,"Haliburton, Pacers defeat Knicks in Game 4 of NBA East finals",2025-05-28 08:44:54,Tyrese Haliburton&#039;s stunning Game 4 performance torched the NY Knicks and moved Indiana to within a game of NBA Finals.,https://www.aljazeera.com/sports/2025/5/28/haliburton-pacers-defeat-knicks-in-game-4-of-nba-east-finals?traffic_source=rss,en
Qatar,Al Jazeera,Why are we still hiding periods in 2025?,2025-05-28 08:33:20,"On this Menstrual Hygiene Day, the Muslim community needs to remember and revive our period-positive legacy.",https://www.aljazeera.com/opinions/2025/5/28/why-are-we-still-hiding-periods-in-2025?traffic_source=rss,en
Qatar,Al Jazeera,"Ukraine s Zelenskyy to meet Germany s Merz in Berlin, seeks more support",2025-05-28 08:28:17,Talks come after German chancellor says allies no longer imposing restrictions on the range of weapons supplied to Kyiv.,https://www.aljazeera.com/news/2025/5/28/ukraines-zelenskyy-to-meet-germanys-merz-in-berlin-seeks-more-support?traffic_source=rss,en
Qatar,Al Jazeera,Video: SpaceX Starship launch fails as spacecraft spirals out of control,2025-05-28 08:08:54,SpaceX&#039;s giant Starship rocket crashed into the Indian Ocean after controllers lost contact with the spacecraft.,https://www.aljazeera.com/video/newsfeed/2025/5/28/video-spacex-starship-launch-fails-as-spacecraft-spirals-out-of-control?traffic_source=rss,en
Qatar,Al Jazeera,How has Bitcoin performed since Trump took office?,2025-05-28 07:27:57,"Bitcoin has surged 60 percent since Trump s re-election in November 2024, reaching current highs of $111,000.",https://www.aljazeera.com/news/2025/5/28/how-has-bitcoin-performed-since-trump-took-office?traffic_source=rss,en
